,Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
0,01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
1,01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
2,01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
3,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
4,01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
5,01/11/2021,-0.09186772345794825,-0.3322516791451389,3.8738918609272637,-2.272621710755339,1.7472560558949386,-4.499147019288008,2.226537882010497,8.133654667133957,11.156939541536296,12.350441673356361,3.2188814439779376,4.830443842948375,10.466520245387365,-2.2363961718141505,12.867476324280643,1.8338568132650053,2.76979985949467,-0.8104553014144853,0.02177833388845498,-4.245690798007342,4.990125170937651,3.424716381737848,-2.287057771308811,-0.935044973638041,5.362943428578719
6,01/12/2021,-1.3630216644968167,-1.686898210278615,0.5968159018261116,-3.0349462860077367,-0.15057536256996917,-7.336607297211602,0.3233942716695943,7.2873360202821935,15.552774650886,7.503614394314613,3.645570218259389,4.973131819135625,11.595706938247126,-2.633898065149802,10.06896915373615,-0.1326538575288377,3.86393873726585,-1.1701489749017038,-1.1896124610585956,-3.071249906367702,2.4537618758694735,3.079809226508145,-2.890734516738528,-2.708558994347181,2.7918551913397445
7,01/13/2021,1.9269644037166918,3.3886172647266513,7.2713670169991955,0.8765593877153329,1.4144988613121205,-4.4320376275680005,1.1012542034893789,3.8418574604905995,13.020190879180799,12.889499312838055,-1.1773812379682513,6.05228229918489,6.6894656910834405,-1.5379519031786548,8.540706042363801,-1.21380309030156,2.4217736767736704,-0.22472123155035528,-2.0690979031732875,-0.8296478514267874,-0.04855774946463747,6.506907275381328,1.2309387026714569,0.9391620803232711,1.6052218740725248
8,01/14/2021,-2.4142189681164687,-1.535272917548203,-1.0772844244966855,-1.097033073319741,-2.447112930807258,-8.595665581657746,-2.6336553765149295,5.841266464571256,3.548840820824264,12.579137158558614,-3.9722694781840895,1.9576317787844526,3.9007661253793993,-5.58907301329673,11.89949360363553,0.17459513413149724,0.7812019835936849,-6.554027385668844,-2.196607982280554,-1.5139206231254163,-2.201850049184735,5.83414654088693,-3.0288444585943646,-1.091838549716402,-4.592268367389807
9,01/15/2021,-3.1736760291610393,-3.7183061311500265,-3.1427111836281467,-2.464888771013257,-3.9052697789108186,-6.058230096852837,-3.9298089428069582,1.1089269918507958,-6.12031732705381,14.638536506209254,-3.3270122097492387,0.04712677765689026,1.9261705799697377,-6.433040454106342,5.345362941265623,0.1624590919469055,2.4155605409585887,-8.644902921714195,-2.889259819208218,-2.1030264295416456,0.4215488861492941,4.234767246652193,-5.569989526135811,-4.008284167535241,-6.735041893909618
